id,match_url
75,/matches/2360092/astralis-vs-500-elisa-masters-espoo-2022
76,/matches/2360131/ec-brugge-vs-skade-x-cct-north-europe-series-2-closed-qualifier
77,/matches/2360120/impression-vs-thunderflash-polish-esport-league-autumn-2022-finals
78,/matches/2360091/fnatic-vs-astralis-elisa-masters-espoo-2022
79,/matches/2360130/genone-vs-jano-cct-north-europe-series-2-closed-qualifier
80,/matches/2360090/bad-news-eagles-vs-complexity-elisa-masters-espoo-2022
81,/matches/2360125/havu-vs-copenhagen-flames-cct-central-europe-series-3
82,/matches/2360088/bad-news-eagles-vs-500-elisa-masters-espoo-2022
83,/matches/2360089/complexity-vs-saw-elisa-masters-espoo-2022
84,/matches/2360129/ago-vs-conquer-cct-north-europe-series-2-closed-qualifier
85,/matches/2360086/bad-news-eagles-vs-astralis-elisa-masters-espoo-2022
86,/matches/2360087/fnatic-vs-complexity-elisa-masters-espoo-2022
87,/matches/2360124/ungentium-vs-k23-cct-central-europe-series-3
88,/matches/2360128/nemiga-vs-prosapia-cct-north-europe-series-2-closed-qualifier
89,/matches/2360084/astralis-vs-saw-elisa-masters-espoo-2022
90,/matches/2360085/fnatic-vs-500-elisa-masters-espoo-2022
91,/matches/2359778/antic-vs-encore-esl-australia-nz-championship-season-15
92,/matches/2360083/complexity-vs-500-elisa-masters-espoo-2022
93,/matches/2360082/bad-news-eagles-vs-saw-elisa-masters-espoo-2022
94,/matches/2360106/bluejays-vs-b8-european-development-championship-6
95,/matches/2359779/arena-vs-frontier-esl-australia-nz-championship-season-15
96,/matches/2360119/villainous-vs-red-wolves-esl-challenger-league-season-43-north-america
97,/matches/2359915/snakes-den-vs-strife-esl-challenger-league-season-43-north-america
98,/matches/2360081/heet-vs-havu-elisa-masters-espoo-2022
99,/matches/2360079/sprout-vs-gamerlegion-elisa-masters-espoo-2022
